time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-02T06:13:18.046Z,36.355,28.7878,10,4.6,mb,,99,0.556,0.69,us,us70005b4k,2019-11-15T17:21:49.040Z,"39km SW of OEluedeniz, Turkey",earthquake,4.5,1.8,0.245,5,reviewed,us,us
2019-09-01T20:49:46.595Z,38.7637,22.5665,10,3.8,mwr,,61,1.661,1.03,us,us70005b1c,2019-11-15T17:21:38.040Z,"9km SW of Molos, Greece",earthquake,5.8,1.8,0.075,17,reviewed,us,us
2019-09-01T00:02:39.993Z,42.808,13.0983,6.33,4.1,mwr,,30,0.028,0.83,us,us70005aqt,2019-11-15T17:21:10.040Z,"1km N of Norcia, Italy",earthquake,5.1,1.8,0.061,26,reviewed,us,us
2019-08-31T22:50:15.167Z,38.1607,74.058,185.08,4,mb,,92,3.05,0.95,us,us70005cdr,2019-11-15T17:21:08.040Z,"8km E of Murghob, Tajikistan",earthquake,7.2,11.2,0.3,3,reviewed,us,us
2019-08-31T15:58:32.529Z,36.7938,27.6682,10,3,ml,,63,0.684,1.1,us,us70005brs,2019-11-15T17:21:04.040Z,"6km NNW of Datca, Turkey",earthquake,3.9,1.3,0.085,18,reviewed,us,us
2019-08-30T22:28:33.115Z,35.9391,69.6249,131.05,4.1,mb,,81,1.474,0.71,us,us70005af3,2019-11-15T17:20:41.040Z,"46km ESE of Nahrin, Afghanistan",earthquake,7.1,15.5,0.262,4,reviewed,us,us
2019-08-30T17:21:04.367Z,37.5207,26.8245,6.15,4.5,mwr,,29,1.668,0.73,us,us70005abi,2019-11-15T17:20:39.040Z,"21km SSW of Chora, Greece",earthquake,4.3,4.3,0.08,15,reviewed,us,us
2019-08-30T15:38:14.496Z,37.4855,26.8329,10,4.6,mb,,36,1.636,0.94,us,us70005a9c,2019-11-15T17:20:37.040Z,"25km SSW of Chora, Greece",earthquake,4.2,1.9,0.065,70,reviewed,us,us
2019-08-30T13:01:36.004Z,44.6411,18.525,7.26,4.8,mb,,29,2.203,0.9,us,us70005a7c,2019-11-15T17:20:33.040Z,"6km ENE of Gnojnica, Bosnia and Herzegovina",earthquake,5.4,4.5,0.035,252,reviewed,us,us
2019-08-30T07:00:04.357Z,45.7323,26.6439,134.63,4.5,mb,,56,0.546,1.05,us,us70005a3d,2019-11-15T17:20:27.040Z,"5km WNW of Nereju, Romania",earthquake,6.8,6.2,0.15,13,reviewed,us,us
